,name,longitude,latitude
0,Santuario dell'Arcella,11°53′11.4″E,45°25′17.8″N
1,Basilica di Sant'Antonio di Padova,11°52′50.47″E,45°24′04.9″N
2,Basilica del Carmine (Padova),11°52′26.8″E,45°24′47.63″N
3,Duomo di Padova,11°52′15.31″E,45°24′23.44″N
4,Basilica di Santa Giustina,11°52′47″E,45°23′47″N
